Total 566650
     51 inevitability
     51 ill
     51 further
     51 entering
     51 early
     51 dron
     51 didn't
     51 broke
     51 ashamed
     51 appointed
     50 stand
     50 servants
     50 relation
     50 purpose
     50 necessity
     50 loud
     50 journey
     50 heads
     50 girls
     50 gesture
     50 drive
     50 division
     50 crossing
     50 chance
     49 shouts
     49 passage
     49 nose
     49 mentioned
     49 interests
     49 grand
     49 fond
     49 floor
     49 direct
     49 died
     49 darkness
     49 common
     49 circle
     49 burst
     49 box
     49 barclay
     49 arranged
     48 what?
     48 tender
     48 streets
     48 ride
     48 returning
     48 regimental
     48 reception
     48 playing
     48 pay
     48 offered
     48 object
     48 nonsense
     48 members
     48 marshal
     48 joined
     48 hurrah!
     48 frowning
     48 frenchmen
     48 easy
     48 directed
     48 devil
     48 cheerful
     48 burned
     48 bogucharovo
     48 assumed
     48 agitated
     48 1
     47 worse
     47 wine
     47 warm
     47 stout
     47 spirit
     47 singing
     47 reports
     47 recalled
     47 outside
     47 le
     47 king
     47 joyful
     47 hot
     47 hat
     47 gathered
     47 footman
     47 curiosity
     47 council
     47 circumstances
     47 bit
     47 bezúkhov
     47 august
     47 agree
     46 weak
     46 wall
     46 uttered
     46 success
     46 rapid
     46 previously
     46 papers
     46 o
     46 nurse
     46 mother's
     46 jumped
     46 importance
     46 hippolyte
     46 formerly
     46 forehead
     46 firm
     46 expect
     46 due
     46 departure
     46 club
     46 chest
     46 blushed
     46 below
     46 awaiting
     46 austerlitz
     46 absence
     45 wore
     45 wife's
     45 thy
     45 thrown
     45 thousands
     45 that?
     45 teeth
     45 somewhere
     45 sign
     45 sick
     45 shot
     45 serve
     45 rich
     45 recognize
     45 none
     45 mean
     45 leaning
     45 leading
     45 lad
     45 inhabitants
     45 increased
     45 gown
     45 garden
     45 forgotten
     45 flew
     45 firmly
     45 fighting
     45 excitement
     45 everywhere
     45 enormous
     45 dull
     45 difficulty
     45 corps
     45 clever
     45 charming
     45 center
     45 cart
     45 carefully
     45 bound
     44 watched
     44 walk
     44 vienna
     44 respect
     44 receive
     44 raising
     44 played
     44 mustache
     44 monsieur
     44 moments
     44 loss
     44 kiss
     44 i've
     44 efforts
     44 dreadful
     44 care
     44 accompanied
     43 youth
